Source,SGOUS,GOUS,7M_check,TM1_check,TM2_check,MOUS_7M,MOUS_TM1,MOUS_TM2,7M_fits,TM1_fits,TM2_fits
543150,uid___A001_X146c_X95,uid___A001_X146c_X96,1,0,0,uid___A001_X146c_X9b,uid___A001_X146c_X97,uid___A001_X146c_X99,member.uid___A001_X146c_X9b._543150__sci.spw16_18_20_22.cont.I.pbcor.fits,,
543161,uid___A001_X146c_X95,uid___A001_X146c_X96,1,0,0,uid___A001_X146c_X9b,uid___A001_X146c_X97,uid___A001_X146c_X99,member.uid___A001_X146c_X9b._543161__sci.spw16_18_20_22.cont.I.pbcor.fits,,
543232,uid___A001_X146c_X95,uid___A001_X146c_X96,1,0,0,uid___A001_X146c_X9b,uid___A001_X146c_X97,uid___A001_X146c_X99,member.uid___A001_X146c_X9b._543232__sci.spw16_18_20_22.cont.I.pbcor.fits,,
545262,uid___A001_X146c_X95,uid___A001_X146c_X96,1,0,0,uid___A001_X146c_X9b,uid___A001_X146c_X97,uid___A001_X146c_X99,member.uid___A001_X146c_X9b._545262__sci.spw16_18_20_22.cont.I.pbcor.fits,,
545392,uid___A001_X146c_X95,uid___A001_X146c_X96,1,0,0,uid___A001_X146c_X9b,uid___A001_X146c_X97,uid___A001_X146c_X99,member.uid___A001_X146c_X9b._545392__sci.spw16_18_20_22.cont.I.pbcor.fits,,
G231.7986-01.9682,uid___A001_X146c_X95,uid___A001_X146c_X96,1,0,0,uid___A001_X146c_X9b,uid___A001_X146c_X97,uid___A001_X146c_X99,member.uid___A001_X146c_X9b._G231.7986-01.9682__sci.spw16_18_20_22.cont.I.pbcor.fits,,
G232.0766-02.2767,uid___A001_X146c_X95,uid___A001_X146c_X96,1,0,0,uid___A001_X146c_X9b,uid___A001_X146c_X97,uid___A001_X146c_X99,member.uid___A001_X146c_X9b._G232.0766-02.2767__sci.spw16_18_20_22.cont.I.pbcor.fits,,
G233.8306-00.1803,uid___A001_X146c_X95,uid___A001_X146c_X96,1,0,0,uid___A001_X146c_X9b,uid___A001_X146c_X97,uid___A001_X146c_X99,member.uid___A001_X146c_X9b._G233.8306-00.1803__sci.spw16_18_20_22.cont.I.pbcor.fits,,
520412,uid___A001_X146c_X95,uid___A001_X146c_X9d,1,0,0,uid___A001_X146c_Xa2,uid___A001_X146c_X9e,uid___A001_X146c_Xa0,member.uid___A001_X146c_Xa2._520412__sci.spw16_18_20_22.cont.I.pbcor.fits,,
G221.9605-01.9926,uid___A001_X146c_X95,uid___A001_X146c_X9d,1,0,0,uid___A001_X146c_Xa2,uid___A001_X146c_X9e,uid___A001_X146c_Xa0,member.uid___A001_X146c_Xa2._G221.9605-01.9926__sci.spw16_18_20_22.cont.I.pbcor.fits,,
631754,uid___A001_X146c_X95,uid___A001_X146c_Xa4,1,0,0,uid___A001_X146c_Xa9,uid___A001_X146c_Xa5,uid___A001_X146c_Xa7,member.uid___A001_X146c_Xa9._631754__sci.spw16_18_20_22.cont.I.pbcor.fits,,
637550,uid___A001_X146c_X95,uid___A001_X146c_Xa4,1,0,0,uid___A001_X146c_Xa9,uid___A001_X146c_Xa5,uid___A001_X146c_Xa7,member.uid___A001_X146c_Xa9._637550__sci.spw16_18_20_22.cont.I.pbcor.fits,,
G282.2988-00.7769,uid___A001_X146c_X95,uid___A001_X146c_Xa4,1,0,0,uid___A001_X146c_Xa9,uid___A001_X146c_Xa5,uid___A001_X146c_Xa7,member.uid___A001_X146c_Xa9._G282.2988-00.7769__sci.spw16_18_20_22.cont.I.pbcor.fits,,
646022,uid___A001_X146c_X95,uid___A001_X146c_Xab,1,0,0,uid___A001_X146c_Xb0,uid___A001_X146c_Xac,uid___A001_X146c_Xae,member.uid___A001_X146c_Xb0._646022__sci.spw16_18_20_22.cont.I.pbcor.fits,,
647452,uid___A001_X146c_X95,uid___A001_X146c_Xab,1,0,0,uid___A001_X146c_Xb0,uid___A001_X146c_Xac,uid___A001_X146c_Xae,member.uid___A001_X146c_Xb0._647452__sci.spw16_18_20_22.cont.I.pbcor.fits,,
651544,uid___A001_X146c_X95,uid___A001_X146c_Xab,1,0,0,uid___A001_X146c_Xb0,uid___A001_X146c_Xac,uid___A001_X146c_Xae,member.uid___A001_X146c_Xb0._651544__sci.spw16_18_20_22.cont.I.pbcor.fits,,
653755,uid___A001_X146c_X95,uid___A001_X146c_Xab,1,0,0,uid___A001_X146c_Xb0,uid___A001_X146c_Xac,uid___A001_X146c_Xae,member.uid___A001_X146c_Xb0._653755__sci.spw16_18_20_22.cont.I.pbcor.fits,,
