AG022.7068+0.3897  1 277.80605  -8.90935  22.70666  0.3913     1.65   0.15 0.32 0.21   25    1.72 0.31 0.21 -61 N N
AG022.7068+0.3897  2 277.80701  -8.90883  22.70756  0.39071    0.66   0.12 0.3  0.21   12    0.65 0.31 0.21 -61 N N
AG022.7285-0.3194  1 278.45735  -9.21665  22.73114 -0.32108    0.64   0.04 0.19 0.3   -56    0.6  0.3  0.2  -62 N N
AG022.7384-0.2420  1 278.38876  -9.17601  22.73598 -0.24227    1.14   0.24 0.26 0.32  283    1.32 0.32 0.22 -60 N N
AG022.7384-0.2420  2 278.38951  -9.17363  22.73844 -0.24182    1.3    1.56 0.33 0.23  176    1.38 0.32 0.22 -60 N N
AG022.7384-0.2420  3 278.3903   -9.17324  22.73914 -0.24233    0.54   0.22 0.25 0.21   27    0.39 0.32 0.22 -60 N N
AG022.7384-0.2420  4 278.39012  -9.17382  22.73854 -0.24245    2.44   0.47 0.23 0.32 -246    2.48 0.32 0.22 -60 N N
AG022.7384-0.2420  5 278.39007  -9.17371  22.73862 -0.24235    2.69   0.59 0.55 0.32   37    6.54 0.32 0.22 -60 N N
AG022.7384-0.2420  6 278.39042  -9.17372  22.73877 -0.24266    0.58   0.58 0.23 0.26  -11    0.49 0.32 0.22 -60 N N
AG022.7384-0.2420  7 278.38934  -9.17372  22.73828 -0.24172    0.64   1.0  0.38 0.27   -2    0.9  0.32 0.22 -60 N N
AG022.8624+0.4213  1 277.85199  -8.75715  22.8626   0.42146    1.48   0.3  0.21 0.26 -236    1.49 0.29 0.19 -64 N N
AG022.8624+0.4213  2 277.85203  -8.75694  22.86281  0.42153    1.22   0.16 0.31 0.2    24    1.4  0.29 0.19 -64 N N
AG022.8624+0.4213  3 277.85546  -8.75521  22.86591  0.41932    3.19   0.55 0.33 0.26   37    5.14 0.29 0.19 -64 N N
AG022.8765-0.4316  1 278.62634  -9.13694  22.87877 -0.43241    1.19   0.11 0.34 0.37 -229    1.14 0.38 0.34 -60 N N
AG022.8765-0.4316  2 278.62488  -9.13961  22.87573 -0.43236    2.48   0.27 0.49 0.4  -272    3.72 0.38 0.34 -60 N N
AG022.8765-0.4316  3 278.62495  -9.13947  22.87589 -0.43235    2.65   0.14 0.5  0.43   26    4.43 0.38 0.34 -60 N N
AG023.0108-0.4102  1 278.66599  -9.01288  23.00692 -0.41002    2.93   0.63 0.41 0.56   33    5.0  0.38 0.35 -63 N N
AG023.0108-0.4102  2 278.67127  -9.01108  23.01092 -0.41382    1.6    0.13 0.42 0.37   37    1.86 0.38 0.35 -63 N N
AG023.0108-0.4102  3 278.66803  -9.01098  23.00954 -0.41093    8.98   5.52 0.82 0.47   31   26.15 0.38 0.35 -63 N N
AG023.0108-0.4102  4 278.66758  -9.00999  23.01021 -0.41008    1.06   1.03 0.4  0.52 -232    1.64 0.38 0.35 -63 N N
AG023.0108-0.4102  5 278.66763  -9.00959  23.01058 -0.40994    1.49   0.48 0.64 0.42   91    2.98 0.38 0.35 -63 N N
AG023.0108-0.4102  6 278.6676   -9.00913  23.01098 -0.4097     1.16   1.31 0.35 0.51  -14    1.53 0.38 0.35 -63 N N
AG023.0108-0.4102  7 278.66857  -9.00611  23.0141  -0.40916    2.06  -0.21 0.33 0.52   16    2.64 0.38 0.35 -63 N N
AG023.0108-0.4102  8 278.66689  -9.00954  23.01029 -0.40927    1.11   0.57 0.45 0.33  -33    1.24 0.38 0.35 -63 N N
AG023.0108-0.4102  9 278.6668   -9.00953  23.01027 -0.40918    1.0    0.62 0.33 0.39   11    0.97 0.38 0.35 -63 N N
AG023.0108-0.4102 10 278.66836  -9.00824  23.01211 -0.40996    0.95   0.47 0.33 0.52 -151    1.22 0.38 0.35 -63 N N
AG023.0108-0.4102 11 278.66825  -9.00819  23.01211 -0.40984    1.09   0.53 0.55 0.33  109    1.49 0.38 0.35 -63 N N
AG023.0108-0.4102 12 278.66869  -9.00811  23.01238 -0.41019    1.35   0.11 0.51 0.33 -248    1.71 0.38 0.35 -63 N N
AG023.0108-0.4102 13 278.66783  -9.01063  23.00976 -0.41059   39.56   5.25 0.55 0.48   62   77.57 0.38 0.35 -63 N N
AG023.0108-0.4102 14 278.66765  -9.01049  23.00979 -0.41037    4.2    2.9  0.38 0.52  -77    6.19 0.38 0.35 -63 N N
AG023.0108-0.4102 15 278.66763  -9.01039  23.00987 -0.41031    1.8    2.24 0.64 0.33   34    2.83 0.38 0.35 -63 N N
AG023.0902-0.3916  1 278.68913  -8.93035  23.09071 -0.3923     0.75   0.18 0.47 0.48   14    1.45 0.36 0.32 -57 N N
AG023.0902-0.3916  2 278.68955  -8.93014  23.09109 -0.39257    0.81   0.13 0.32 0.37  -16    0.82 0.36 0.32 -57 N N
AG023.2440+0.0062  1 278.40194  -8.61167  23.24272  0.00646    0.45   0.09 0.33 0.32    0    0.38 0.37 0.34 -60 N N
AG023.2524-0.0615  1 278.46742  -8.63611  23.25088 -0.06226    0.86   0.14 0.35 0.25   44    1.1  0.32 0.21 -60 N N
AG023.2524-0.0615  2 278.46627  -8.6334   23.25277 -0.06       0.43   0.19 0.29 0.21 -186    0.39 0.32 0.21 -60 N N
AG023.2657+0.0767  1 278.34978  -8.5588   23.26584  0.07661   16.9    3.43 0.49 0.62   19   39.31 0.38 0.34 -61 Y Y
AG023.2657+0.0767  2 278.35018  -8.55878  23.26604  0.07627   13.81   2.53 0.49 0.41    4   20.99 0.38 0.34 -61 N Y
AG023.2657+0.0767  3 278.35114  -8.55545  23.26943  0.07696    1.29   0.1  0.4  0.33  -81    1.29 0.38 0.34 -61 N Y
AG023.2657+0.0767  4 278.35038  -8.55998  23.26506  0.07554    0.77   1.34 0.33 0.51 -126    1.0  0.38 0.34 -61 Y Y
AG023.2657+0.0767  5 278.34974  -8.55917  23.2655   0.07648    0.66   1.77 0.34 0.51  174    0.87 0.38 0.34 -61 Y Y
AG023.2657+0.0767  6 278.34951  -8.5588   23.26572  0.07685    2.91   3.85 0.33 0.33 -223    2.34 0.38 0.34 -61 Y Y
AG023.2710-0.2570  1 278.64921  -8.7102   23.26795 -0.25589    0.67   0.03 0.2  0.27  -74    0.54 0.31 0.21 -61 N N
AG023.2710-0.2570  2 278.65265  -8.70857  23.27097 -0.25815    1.95   0.36 0.33 0.25   25    2.47 0.31 0.21 -61 N N
AG023.2969-0.0711  1 278.49543  -8.60059  23.29518 -0.07045    0.58  -0.06 0.31 0.26   18    0.75 0.31 0.2  -62 N N
