SGOUS,GOUS,7M_ms_check,TM1_ms_check,TM2_ms_check,MOUS_7M,MOUS_TM1,MOUS_TM2,7M_ms_url,TM1_ms_url,TM2_ms_url
uid___A001_X146c_X95,uid___A001_X146c_X96,1,1,1,uid___A001_X146c_X9b,uid___A001_X146c_X97,uid___A001_X146c_X99,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_X9b/uid___A002_Xe1d2cb_Xe594/uid___A002_Xe1d2cb_Xe594.ms,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_X97/uid___A002_Xeaae1d_X59da/uid___A002_Xeaae1d_X59da.ms,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_X99/uid___A002_Xe2ada9_X19849/uid___A002_Xe2ada9_X19849.ms
uid___A001_X146c_X95,uid___A001_X146c_X9d,1,0,1,uid___A001_X146c_Xa2,uid___A001_X146c_X9e,uid___A001_X146c_Xa0,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xa2/uid___A002_Xe20b32_X84e7/uid___A002_Xe20b32_X84e7.ms,,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xa0/uid___A002_Xe2ada9_X196b1/uid___A002_Xe2ada9_X196b1.ms
uid___A001_X146c_X95,uid___A001_X146c_Xa4,1,0,1,uid___A001_X146c_Xa9,uid___A001_X146c_Xa5,uid___A001_X146c_Xa7,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xa9/uid___A002_Xe1d2cb_X5ec2/uid___A002_Xe1d2cb_X5ec2.ms,,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xa7/uid___A002_Xe50c9e_Xfb3e/uid___A002_Xe37224_X106c8.ms
uid___A001_X146c_X95,uid___A001_X146c_Xab,1,0,1,uid___A001_X146c_Xb0,uid___A001_X146c_Xac,uid___A001_X146c_Xae,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xb0/uid___A002_Xe247d0_X2f14/uid___A002_Xe220f2_X729c.ms,,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xae/uid___A002_Xe37224_X10384/uid___A002_Xe37224_X10384.ms
uid___A001_X146c_X95,uid___A001_X146c_Xb2,0,1,1,uid___A001_X146c_Xb7,uid___A001_X146c_Xb3,uid___A001_X146c_Xb5,,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xb3/uid___A002_Xeaae1d_X952c/uid___A002_Xe1baa0_X8721.ms,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xb5/uid___A002_Xe2ada9_X19738/uid___A002_Xe2ada9_X19738.ms
uid___A001_X146c_X95,uid___A001_X146c_Xb9,1,0,1,uid___A001_X146c_Xbe,uid___A001_X146c_Xba,uid___A001_X146c_Xbc,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xbe/uid___A002_Xe2ada9_Xe803/uid___A002_Xe20b32_X8967.ms,,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xbc/uid___A002_Xe2ada9_X1994b/uid___A002_Xe2ada9_X1994b.ms
uid___A001_X146c_X95,uid___A001_X146c_Xc0,1,1,1,uid___A001_X146c_Xc5,uid___A001_X146c_Xc1,uid___A001_X146c_Xc3,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xc5/uid___A002_Xe247d0_Xd1db/uid___A002_Xe230a1_X8333.ms,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xc1/uid___A002_Xeaff9c_X12f0/uid___A002_Xe850fb_Xc7b4.ms,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xc3/uid___A002_Xe407cf_X153f0/uid___A002_Xe3da01_X621b.ms
uid___A001_X146c_X95,uid___A001_X146c_Xc7,1,1,0,uid___A001_X146c_Xcc,uid___A001_X146c_Xc8,uid___A001_X146c_Xca,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xcc/uid___A002_Xe32bed_X3b0/uid___A002_Xe2ada9_Xa4c7.ms,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xc8/uid___A002_Xeb6c00_Xde7/uid___A002_Xeaff9c_X3727.ms,
uid___A001_X146c_X95,uid___A001_X146c_Xce,1,0,1,uid___A001_X146c_Xd3,uid___A001_X146c_Xcf,uid___A001_X146c_Xd1,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xd3/uid___A002_Xe407cf_X15c4d/uid___A002_Xe34c04_X2e7.ms,,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xd1/uid___A002_Xf6c53e_X2463/uid___A002_Xe539c7_Xff08.ms
uid___A001_X146c_X95,uid___A001_X146c_Xd5,1,0,1,uid___A001_X146c_Xda,uid___A001_X146c_Xd6,uid___A001_X146c_Xd8,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xda/uid___A002_Xe27761_X4410/uid___A002_Xe247d0_X124b4.ms,,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xd8/uid___A002_Xe3da01_X5d44/uid___A002_Xe3da01_X5d44.ms
