SOUS,GOUS,MOUS,fits_url
uid___A001_X1467_X1d3,uid___A001_X1467_X1d4,uid___A001_X1467_X1d5,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/QA2/science_goal.uid___A001_X1467_X1d3/group.uid___A001_X1467_X1d4/member.uid___A001_X1467_X1d5/product/member.uid___A001_X1467_X1d5._48727__sci.spw25_27_29_31.cont.I.pbcor.fits
uid___A001_X1467_X1d3,uid___A001_X1467_X1d4,uid___A001_X1467_X1d7,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/QA2/science_goal.uid___A001_X1467_X1d3/group.uid___A001_X1467_X1d4/member.uid___A001_X1467_X1d7/product/member.uid___A001_X1467_X1d7._48727__sci.spw25_27_29_31.cont.I.pbcor.fits
uid___A001_X1467_X1d3,uid___A001_X1467_X1d4,uid___A001_X1467_X1d7,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/QA2/science_goal.uid___A001_X1467_X1d3/group.uid___A001_X1467_X1d4/member.uid___A001_X1467_X1d7/product/member.uid___A001_X1467_X1d7._49143__sci.spw25_27_29_31.cont.I.pbcor.fits
uid___A001_X1467_X1d3,uid___A001_X1467_X1d4,uid___A001_X1467_X1d7,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/QA2/science_goal.uid___A001_X1467_X1d3/group.uid___A001_X1467_X1d4/member.uid___A001_X1467_X1d7/product/member.uid___A001_X1467_X1d7._51554__sci.spw25_27_29_31.cont.I.pbcor.fits
uid___A001_X1467_X1d3,uid___A001_X1467_X1d4,uid___A001_X1467_X1d7,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/QA2/science_goal.uid___A001_X1467_X1d3/group.uid___A001_X1467_X1d4/member.uid___A001_X1467_X1d7/product/member.uid___A001_X1467_X1d7._58529__sci.spw25_27_29_31.cont.I.pbcor.fits
uid___A001_X1467_X1d3,uid___A001_X1467_X1d4,uid___A001_X1467_X1d7,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/QA2/science_goal.uid___A001_X1467_X1d3/group.uid___A001_X1467_X1d4/member.uid___A001_X1467_X1d7/product/member.uid___A001_X1467_X1d7._58829__sci.spw25_27_29_31.cont.I.pbcor.fits
uid___A001_X1467_X1d3,uid___A001_X1467_X1d4,uid___A001_X1467_X1d7,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/QA2/science_goal.uid___A001_X1467_X1d3/group.uid___A001_X1467_X1d4/member.uid___A001_X1467_X1d7/product/member.uid___A001_X1467_X1d7._60530__sci.spw25_27_29_31.cont.I.pbcor.fits
uid___A001_X1467_X1d3,uid___A001_X1467_X1d4,uid___A001_X1467_X1d7,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/QA2/science_goal.uid___A001_X1467_X1d3/group.uid___A001_X1467_X1d4/member.uid___A001_X1467_X1d7/product/member.uid___A001_X1467_X1d7._63437__sci.spw25_27_29_31.cont.I.pbcor.fits
uid___A001_X1467_X1d3,uid___A001_X1467_X1d4,uid___A001_X1467_X1d9,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/QA2/science_goal.uid___A001_X1467_X1d3/group.uid___A001_X1467_X1d4/member.uid___A001_X1467_X1d9/product/member.uid___A001_X1467_X1d9._48727__sci.spw16_18_20_22.cont.I.pbcor.fits
uid___A001_X1467_X1d3,uid___A001_X1467_X1d4,uid___A001_X1467_X1d9,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/QA2/science_goal.uid___A001_X1467_X1d3/group.uid___A001_X1467_X1d4/member.uid___A001_X1467_X1d9/product/member.uid___A001_X1467_X1d9._49143__sci.spw16_18_20_22.cont.I.pbcor.fits
