MOUS_ID,Missing_in_Cont,Missing_in_Cube
uid___A001_X1467_X1d5,True,True
uid___A001_X1467_X1dc,True,True
uid___A001_X1467_X1de,True,True
uid___A001_X1467_X1e3,True,True
uid___A001_X1467_X1e5,True,True
uid___A001_X1467_X1ea,True,True
uid___A001_X1467_X1ec,True,True
uid___A001_X1467_X1f1,True,True
uid___A001_X1467_X1f8,True,True
uid___A001_X1467_X1fa,True,True
uid___A001_X1467_X1ff,True,True
uid___A001_X1467_X206,True,True
uid___A001_X1467_X20d,True,True
uid___A001_X1467_X214,True,True
uid___A001_X1467_X216,True,True
uid___A001_X1467_X218,True,True
uid___A001_X1467_X21b,True,True
uid___A001_X1467_X222,True,True
uid___A001_X1467_X229,True,True
uid___A001_X1467_X22b,True,True
uid___A001_X1467_X230,True,True
uid___A001_X1467_X232,True,True
uid___A001_X1467_X237,True,True
uid___A001_X1467_X23e,True,True
uid___A001_X1467_X240,True,True
uid___A001_X146c_X97,True,True
uid___A001_X146c_Xac,True,True
uid___A001_X146c_Xc1,True,True
uid___A001_X146c_Xc8,True,True
uid___A001_X146c_Xcf,True,True
uid___A001_X146c_Xd6,True,True
uid___A001_X146c_Xdd,True,True
uid___A001_X146c_Xe4,True,True
uid___A001_X146c_Xe6,True,True
uid___A001_X146c_Xeb,True,True
uid___A001_X146c_Xf2,True,True
uid___A001_X146c_Xf9,True,True
