MOUS_ID,Data_Type
uid___A001_X1467_X1e5,MS
uid___A001_X1467_X1f1,MS,x
uid___A001_X1467_X1f8,MS,x
uid___A001_X1467_X1ff,MS,x
uid___A001_X1467_X206,MS,x
uid___A001_X1467_X20d,MS,x
uid___A001_X1467_X214,MS,x
uid___A001_X1467_X21b,MS,x
uid___A001_X1467_X222,MS,x
uid___A001_X1467_X229,MS,x
uid___A001_X1467_X230,MS,x
uid___A001_X1467_X237,MS,x
uid___A001_X146c_X9e,MS,x
uid___A001_X146c_Xa5,MS,x
uid___A001_X146c_Xac,MS,x
uid___A001_X146c_Xb7,MS
uid___A001_X146c_Xba,MS,x
uid___A001_X146c_Xca,MS
uid___A001_X146c_Xcf,MS,x
uid___A001_X146c_Xd6,MS,x
uid___A001_X146c_Xdd,MS,x
uid___A001_X146c_Xdf,MS
uid___A001_X146c_Xe4,MS,x
uid___A001_X146c_Xeb,MS,x
uid___A001_X146c_Xf9,MS,x
