MOUS_ID,Main_Data_URL,Main_Data_Size_GB,Auxiliary_Data_URL,Auxiliary_Data_Size_GB,README_URL,Status,Error
uid___A001_X1467_X1d5,https://almascience.eso.org/dataPortal/2019.1.00195.L_uid___A001_X1467_X1d5_001_of_001.tar,40.69,https://almascience.eso.org/dataPortal/2019.1.00195.L_uid___A001_X1467_X1d5_auxiliary.tar,0.21,https://almascience.eso.org/dataPortal/member.uid___A001_X1467_X1d5.README.txt,Success,
uid___A001_X1467_X1dc,https://almascience.eso.org/dataPortal/2019.1.00195.L_uid___A001_X1467_X1dc_001_of_001.tar,51.24,https://almascience.eso.org/dataPortal/2019.1.00195.L_uid___A001_X1467_X1dc_auxiliary.tar,0.96,https://almascience.eso.org/dataPortal/member.uid___A001_X1467_X1dc.README.txt,Success,
uid___A001_X1467_X1de,https://almascience.eso.org/dataPortal/2019.1.00195.L_uid___A001_X1467_X1de_001_of_001.tar,216.5,https://almascience.eso.org/dataPortal/2019.1.00195.L_uid___A001_X1467_X1de_auxiliary.tar,0.62,https://almascience.eso.org/dataPortal/member.uid___A001_X1467_X1de.README.txt,Success,
uid___A001_X1467_X1e3,https://almascience.eso.org/dataPortal/2019.1.00195.L_uid___A001_X1467_X1e3_001_of_001.tar,131.39,https://almascience.eso.org/dataPortal/2019.1.00195.L_uid___A001_X1467_X1e3_auxiliary.tar,1.21,https://almascience.eso.org/dataPortal/member.uid___A001_X1467_X1e3.README.txt,Success,
uid___A001_X1467_X1e5,https://almascience.eso.org/dataPortal/2019.1.00195.L_uid___A001_X1467_X1e5_001_of_001.tar,188.03,https://almascience.eso.org/dataPortal/2019.1.00195.L_uid___A001_X1467_X1e5_auxiliary.tar,0.79,https://almascience.eso.org/dataPortal/member.uid___A001_X1467_X1e5.README.txt,Success,
uid___A001_X1467_X1ea,https://almascience.eso.org/dataPortal/2019.1.00195.L_uid___A001_X1467_X1ea_001_of_001.tar,42.75,https://almascience.eso.org/dataPortal/2019.1.00195.L_uid___A001_X1467_X1ea_auxiliary.tar,0.86,https://almascience.eso.org/dataPortal/member.uid___A001_X1467_X1ea.README.txt,Success,
uid___A001_X1467_X1ec,https://almascience.eso.org/dataPortal/2019.1.00195.L_uid___A001_X1467_X1ec_001_of_001.tar,213.29,https://almascience.eso.org/dataPortal/2019.1.00195.L_uid___A001_X1467_X1ec_auxiliary.tar,0.86,https://almascience.eso.org/dataPortal/member.uid___A001_X1467_X1ec.README.txt,Success,
uid___A001_X1467_X1f1,https://almascience.eso.org/dataPortal/2019.1.00195.L_uid___A001_X1467_X1f1_001_of_001.tar,131.28,https://almascience.eso.org/dataPortal/2019.1.00195.L_uid___A001_X1467_X1f1_auxiliary.tar,0.39,https://almascience.eso.org/dataPortal/member.uid___A001_X1467_X1f1.README.txt,Success,
uid___A001_X1467_X1f8,https://almascience.eso.org/dataPortal/2019.1.00195.L_uid___A001_X1467_X1f8_001_of_001.tar,131.46,https://almascience.eso.org/dataPortal/2019.1.00195.L_uid___A001_X1467_X1f8_auxiliary.tar,0.69,https://almascience.eso.org/dataPortal/member.uid___A001_X1467_X1f8.README.txt,Success,
uid___A001_X1467_X1fa,https://almascience.eso.org/dataPortal/2019.1.00195.L_uid___A001_X1467_X1fa_001_of_001.tar,268.08,https://almascience.eso.org/dataPortal/2019.1.00195.L_uid___A001_X1467_X1fa_auxiliary.tar,0.84,https://almascience.eso.org/dataPortal/member.uid___A001_X1467_X1fa.README.txt,Success,
