Source_Name,Source_Seq,Source_RA,Source_Dec,Source_GLON,Source_GLAT,Source_Fpeak,Source_Fint,Primary_Target,Primary_Distance_arcsec,Num_Matching_Targets,All_Targets,Primary_FITS
AG022.7068+0.3897,1,277.80605,-8.90935,22.70666,0.3913,1.65,1.72,100132,6.3350430583909185,1,100132,member.uid___A001_X1467_X1e7._100132__sci.spw16_18_20_22.cont.I.pbcor.fits
AG022.7068+0.3897,2,277.80701,-8.90883,22.70756,0.39071,0.66,0.65,100132,5.118814496234089,1,100132,member.uid___A001_X1467_X1e7._100132__sci.spw16_18_20_22.cont.I.pbcor.fits
AG022.7285-0.3194,1,278.45735,-9.21665,22.73114,-0.32108,0.64,0.6,100244,11.082583511982694,1,100244,member.uid___A001_X1467_X1e7._100244__sci.spw16_18_20_22.cont.I.pbcor.fits
AG022.7384-0.2420,1,278.38876,-9.17601,22.73598,-0.24227,1.14,1.32,100309,8.554474776710514,1,100309,member.uid___A001_X1467_X1e7._100309__sci.spw16_18_20_22.cont.I.pbcor.fits
AG022.7384-0.2420,2,278.38951,-9.17363,22.73844,-0.24182,1.3,1.38,100309,1.2916373798281335,1,100309,member.uid___A001_X1467_X1e7._100309__sci.spw16_18_20_22.cont.I.pbcor.fits
AG022.7384-0.2420,3,278.3903,-9.17324,22.73914,-0.24233,0.54,0.39,100309,2.883706723410979,1,100309,member.uid___A001_X1467_X1e7._100309__sci.spw16_18_20_22.cont.I.pbcor.fits
AG022.7384-0.2420,4,278.39012,-9.17382,22.73854,-0.24245,2.44,2.48,100309,1.1898099192063454,1,100309,member.uid___A001_X1467_X1e7._100309__sci.spw16_18_20_22.cont.I.pbcor.fits
AG022.7384-0.2420,5,278.39007,-9.17371,22.73862,-0.24235,2.69,6.54,100309,1.1411564257307358,1,100309,member.uid___A001_X1467_X1e7._100309__sci.spw16_18_20_22.cont.I.pbcor.fits
AG022.7384-0.2420,6,278.39042,-9.17372,22.73877,-0.24266,0.58,0.49,100309,2.303534509590044,1,100309,member.uid___A001_X1467_X1e7._100309__sci.spw16_18_20_22.cont.I.pbcor.fits
AG022.7384-0.2420,7,278.38934,-9.17372,22.73828,-0.24172,0.64,0.9,100309,1.6709020560589423,1,100309,member.uid___A001_X1467_X1e7._100309__sci.spw16_18_20_22.cont.I.pbcor.fits
AG022.8624+0.4213,1,277.85199,-8.75715,22.8626,0.42146,1.48,1.49,100992,1.4472107664968814,1,100992,member.uid___A001_X1467_X1e7._100992__sci.spw16_18_20_22.cont.I.pbcor.fits
AG022.8624+0.4213,2,277.85203,-8.75694,22.86281,0.42153,1.22,1.4,100992,2.1197136391214806,1,100992,member.uid___A001_X1467_X1e7._100992__sci.spw16_18_20_22.cont.I.pbcor.fits
AG022.8624+0.4213,3,277.85546,-8.75521,22.86591,0.41932,3.19,5.14,100992,14.368586058590953,1,100992,member.uid___A001_X1467_X1e7._100992__sci.spw16_18_20_22.cont.I.pbcor.fits
AG022.8765-0.4316,1,278.62634,-9.13694,22.87877,-0.43241,1.19,1.14,101073,8.64213193371825,1,101073,member.uid___A001_X146c_Xcc._101073__sci.spw16_18_20_22.cont.I.pbcor.fits
AG022.8765-0.4316,2,278.62488,-9.13961,22.87573,-0.43236,2.48,3.72,101073,3.2877536471193944,1,101073,member.uid___A001_X146c_Xcc._101073__sci.spw16_18_20_22.cont.I.pbcor.fits
AG022.8765-0.4316,3,278.62495,-9.13947,22.87589,-0.43235,2.65,4.43,101073,2.861578747519617,1,101073,member.uid___A001_X146c_Xcc._101073__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.0108-0.4102,1,278.66599,-9.01288,23.00692,-0.41002,2.93,5.0,101899,13.782709938395877,1,101899,member.uid___A001_X146c_Xcc._101899__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.0108-0.4102,2,278.67127,-9.01108,23.01092,-0.41382,1.6,1.86,101899,12.634750357456277,1,101899,member.uid___A001_X146c_Xcc._101899__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.0108-0.4102,3,278.66803,-9.01098,23.00954,-0.41093,8.98,26.15,101899,4.868628001083195,1,101899,member.uid___A001_X146c_Xcc._101899__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.0108-0.4102,4,278.66758,-9.00999,23.01021,-0.41008,1.06,1.64,101899,2.078404529401009,1,101899,member.uid___A001_X146c_Xcc._101899__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.0108-0.4102,5,278.66763,-9.00959,23.01058,-0.40994,1.49,2.98,101899,1.446533972709864,1,101899,member.uid___A001_X146c_Xcc._101899__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.0108-0.4102,6,278.6676,-9.00913,23.01098,-0.4097,1.16,1.53,101899,2.3668292202888166,1,101899,member.uid___A001_X146c_Xcc._101899__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.0108-0.4102,7,278.66857,-9.00611,23.0141,-0.40916,2.06,2.64,101899,12.805456565848338,1,101899,member.uid___A001_X146c_Xcc._101899__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.0108-0.4102,8,278.66689,-9.00954,23.01029,-0.40927,1.11,1.24,101899,4.083513673317118,1,101899,member.uid___A001_X146c_Xcc._101899__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.0108-0.4102,9,278.6668,-9.00953,23.01027,-0.40918,1.0,0.97,101899,4.405355076255689,1,101899,member.uid___A001_X146c_Xcc._101899__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.0108-0.4102,10,278.66836,-9.00824,23.01211,-0.40996,0.95,1.22,101899,5.127281029237265,1,101899,member.uid___A001_X146c_Xcc._101899__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.0108-0.4102,11,278.66825,-9.00819,23.01211,-0.40984,1.09,1.49,101899,5.231533494334647,1,101899,member.uid___A001_X146c_Xcc._101899__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.0108-0.4102,12,278.66869,-9.00811,23.01238,-0.41019,1.35,1.71,101899,5.939009034124322,1,101899,member.uid___A001_X146c_Xcc._101899__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.0108-0.4102,13,278.66783,-9.01063,23.00976,-0.41059,39.56,77.57,101899,3.681506871073351,1,101899,member.uid___A001_X146c_Xcc._101899__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.0108-0.4102,14,278.66765,-9.01049,23.00979,-0.41037,4.2,6.19,101899,3.393060594099118,1,101899,member.uid___A001_X146c_Xcc._101899__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.0108-0.4102,15,278.66763,-9.01039,23.00987,-0.41031,1.8,2.83,101899,3.099503613286361,1,101899,member.uid___A001_X146c_Xcc._101899__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.0902-0.3916,1,278.68913,-8.93035,23.09071,-0.3923,0.75,1.45,102460,2.7984673533285918,1,102460,member.uid___A001_X146c_Xcc._102460__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.0902-0.3916,2,278.68955,-8.93014,23.09109,-0.39257,0.81,0.82,102460,4.44824579327541,1,102460,member.uid___A001_X146c_Xcc._102460__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.2440+0.0062,1,278.40194,-8.61167,23.24272,0.00646,0.45,0.38,103319,4.762830658138009,1,103319,member.uid___A001_X146c_Xcc._103319__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.2524-0.0615,1,278.46742,-8.63611,23.25088,-0.06226,0.86,1.1,103357,5.59085938025204,1,103357,member.uid___A001_X1467_X1e7._103357__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.2524-0.0615,2,278.46627,-8.6334,23.25277,-0.06,0.43,0.39,103357,6.150567807165788,1,103357,member.uid___A001_X1467_X1e7._103357__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.2657+0.0767,1,278.34978,-8.5588,23.26584,0.07661,16.9,39.31,103421,0.6722237621018805,1,103421,member.uid___A001_X146c_Xcc._103421__sci.spw16_18_20_22.cont.I.pbcor.fits
